,carat,cut,color,clarity,depth,table,price
187,0.41,4,4,6,62.2,56.0,1007
188,1.62,4,5,5,61.7,55.0,14386
189,0.33,4,7,4,60.9,55.0,781
190,0.33,4,4,5,62.1,56.0,854
191,1.01,4,4,4,60.6,58.0,6295
192,1.04,5,5,3,62.5,60.0,5724
193,0.32,4,6,4,62.3,56.0,702
194,1.02,3,3,2,62.6,60.0,4229
195,1.01,4,4,4,60.8,59.0,6019
196,1.0,1,5,3,67.1,57.0,4328
197,1.07,3,6,2,61.6,56.0,4824
198,0.32,5,4,4,61.7,60.0,720
199,0.51,4,4,5,61.7,56.0,1656
200,0.32,4,5,4,62.6,57.0,707
201,2.15,4,2,3,62.5,57.0,14534
202,0.7,3,6,3,61.7,62.0,2569
203,1.71,3,4,4,62.5,58.0,15829
204,1.22,3,4,3,62.4,57.0,6704
205,0.56,4,5,4,61.6,56.0,1672
206,0.33,3,6,3,60.6,60.0,579
207,1.7,4,1,4,60.5,58.0,10002
208,0.51,4,7,5,60.7,57.0,1826
209,1.0,5,5,4,60.5,59.0,6640
210,0.4,4,3,5,62.7,59.0,1017
211,0.44,4,6,7,61.1,56.0,1924
212,0.5,1,6,4,65.4,57.0,1397
213,1.0,5,1,3,61.9,62.0,3528
214,1.01,4,5,2,61.3,57.0,3777
215,0.31,3,4,2,63.2,55.0,523
216,1.13,4,5,2,61.8,57.0,5232
217,1.52,4,5,4,62.8,55.0,14038
218,0.72,4,2,6,61.3,56.0,2591
219,0.32,5,2,4,62.2,59.0,449
220,1.16,4,7,2,62.5,56.0,5615
221,0.35,3,6,8,57.9,56.0,1025
222,0.31,4,2,8,61.7,55.0,635
223,2.25,2,1,3,62.4,61.0,15287
224,0.32,4,4,3,62.6,55.0,445
225,0.35,4,3,8,60.9,57.0,1028
226,1.06,3,6,3,59.6,57.0,5328
227,1.07,4,5,6,62.3,57.0,10061
228,0.4,2,6,2,63.9,57.0,622
229,0.3,4,6,6,62.3,57.0,766
230,1.06,5,3,3,61.0,58.0,5075
231,0.3,2,7,5,64.3,56.0,610
232,0.5,3,5,2,61.4,61.0,1068
233,1.5,5,4,2,60.7,61.0,8736
234,0.35,4,2,8,61.5,55.0,715
235,2.02,1,1,2,67.5,59.0,9095
236,2.18,3,4,2,61.0,60.0,17475
237,0.8,3,3,2,62.7,57.0,2294
238,0.4,5,5,3,62.2,57.0,945
239,0.73,4,6,2,62.1,56.0,2467
240,0.92,4,7,2,60.3,56.0,3997
241,1.0,2,7,4,63.1,56.0,7114
242,1.5,5,7,1,62.4,60.0,3780
243,2.01,2,4,3,60.3,60.0,18625
244,0.71,3,5,4,62.8,57.0,2777
245,0.52,3,7,3,63.8,56.0,1452
246,1.0,5,7,3,61.3,54.0,5488
247,0.35,4,7,4,62.4,55.0,829
248,0.4,4,6,7,61.5,56.0,1333
249,0.35,4,7,2,62.4,55.0,522
250,0.4,4,4,2,62.1,57.0,648
251,0.55,5,5,3,60.7,57.0,1415
252,0.92,4,6,2,62.6,57.0,4309
253,1.01,5,3,4,62.6,61.0,5050
254,1.01,4,4,6,62.2,54.0,8104
255,1.19,5,3,3,62.7,56.0,5802
256,0.91,1,5,2,64.9,56.0,3210
257,0.4,2,5,7,61.9,61.0,1349
258,1.1,5,4,2,61.4,59.0,4650
259,1.51,2,3,3,61.5,61.0,10277
260,1.01,3,5,2,62.5,61.0,3945
261,0.8,4,2,5,62.2,58.0,2906
262,1.0,2,5,1,64.2,59.0,2717
263,0.92,3,7,3,62.9,56.0,4676
264,1.01,2,7,3,61.7,62.0,5443
265,1.13,4,4,7,61.2,57.0,9214
266,1.13,4,3,2,60.6,57.0,3670
267,0.31,4,4,8,61.9,56.0,988
268,0.31,4,5,7,60.4,59.0,779
269,0.33,4,4,6,60.1,57.0,752
270,2.01,4,6,2,62.2,57.0,17688
271,0.7,4,5,3,62.1,56.0,2596
272,0.56,4,4,5,62.2,55.0,1915
273,1.02,5,3,4,61.2,58.0,5217
274,0.55,4,5,4,61.3,54.0,1649
275,0.53,5,7,4,62.4,59.0,1877
276,0.7,2,3,6,62.1,64.0,2767
277,0.76,4,5,3,60.1,57.0,2607
278,0.42,4,7,3,61.9,56.0,1040
279,0.53,4,4,2,59.9,57.0,1132
280,0.74,4,7,4,62.2,56.0,3454
281,1.08,4,6,3,62.6,57.0,5096
282,0.61,4,3,5,60.8,56.0,2053
283,1.12,2,1,3,63.7,61.0,3880
284,0.3,5,3,2,60.9,59.0,473
285,0.53,4,5,7,61.6,56.0,2922
286,0.71,4,4,3,62.8,56.0,2342
287,0.91,3,7,3,63.1,59.0,4586
288,0.29,4,5,7,60.9,57.0,858
289,1.51,2,1,3,62.4,64.0,7162
290,0.51,4,3,2,62.0,55.0,1435
291,0.92,2,6,3,63.3,57.0,3649
292,0.71,2,5,3,64.3,58.0,2258
293,0.3,4,6,4,62.6,56.0,658
294,1.7,3,4,4,63.1,57.0,15937
295,0.3,2,4,5,63.3,56.0,565
296,0.7,1,7,2,67.8,58.0,1770
297,0.4,4,3,6,62.4,57.0,1125
298,1.23,4,3,4,61.7,56.0,7687
299,1.01,3,4,4,62.4,58.0,6019
300,1.35,4,1,4,61.4,57.0,5862
301,0.59,2,5,3,59.1,58.0,1361
302,1.0,1,7,3,66.3,58.0,4704
303,0.72,4,6,6,62.0,56.0,3874
304,0.4,3,3,7,60.5,59.0,900
305,0.51,5,3,4,60.9,60.0,1202
306,0.54,4,6,2,60.6,57.0,1246
307,0.52,4,3,4,61.6,55.0,1401
308,1.02,4,7,3,61.3,56.0,6157
309,0.5,2,5,5,61.4,61.0,1613
310,0.63,3,4,2,63.3,59.0,1105
311,1.54,1,2,2,65.0,56.0,6375
312,0.41,3,6,5,62.9,56.0,931
313,0.71,4,4,2,62.3,56.0,2266
314,0.7,5,5,2,61.5,58.0,2043
315,0.91,5,5,4,62.2,58.0,4979
316,0.83,3,2,4,62.0,55.0,2915
317,1.29,3,4,5,62.3,58.0,9105
318,1.62,3,3,3,62.8,59.0,10521
319,2.0,3,5,3,63.6,58.0,16580
320,2.0,4,3,4,61.6,57.0,13531
321,0.43,4,5,6,61.9,56.0,1169
322,0.51,5,5,4,62.3,60.0,1574
323,0.33,3,6,3,62.7,56.0,579
324,0.26,2,5,5,58.0,58.0,453
325,1.53,5,3,4,60.1,58.0,11087
326,1.01,4,7,2,61.3,54.0,4916
327,0.53,4,6,4,61.8,56.0,1801
328,1.0,3,5,7,61.1,57.0,9870
329,0.7,3,7,6,61.1,57.0,3622
330,1.02,5,5,5,61.9,58.0,7351
331,0.72,4,4,6,61.2,57.0,3126
332,0.27,4,3,5,61.2,54.0,464
333,0.3,4,5,7,61.1,55.0,1041
334,0.72,4,6,2,61.9,55.0,2398
335,0.5,5,6,4,62.6,60.0,1629
336,1.01,3,5,2,60.0,59.0,4416
337,2.12,4,3,2,61.4,57.0,12284
338,0.75,4,3,3,62.9,57.0,2523
339,1.5,1,3,1,66.6,54.0,4939
340,1.58,4,2,7,61.9,55.0,11435
341,1.53,3,4,5,61.9,57.0,16219
342,2.02,3,1,3,59.8,59.9,12598
343,0.55,4,3,5,62.3,56.0,1634
344,0.31,3,4,5,60.8,61.0,625
345,0.51,3,3,5,60.7,56.0,1628
346,1.66,4,5,2,62.6,59.0,10338
347,0.6,4,5,5,61.9,55.0,2201
348,0.76,4,7,5,61.7,56.0,4377
349,1.49,3,5,1,62.6,53.6,6064
350,0.7,4,5,4,61.3,56.0,2717
351,1.26,3,1,3,61.8,58.0,4989
352,0.5,3,6,4,62.7,54.0,1624
353,1.07,5,3,2,61.2,60.0,4413
354,2.23,5,2,4,61.2,58.0,18149
355,0.43,4,7,7,61.9,54.0,1754
356,0.52,5,6,4,61.6,59.0,1694
357,1.44,2,4,5,63.6,58.0,9677
358,1.24,4,1,3,61.8,57.0,4875
359,0.72,4,2,6,61.5,58.0,2594
360,1.01,3,4,2,63.5,58.0,4154
361,1.02,5,3,2,60.9,58.0,4113
362,0.71,2,5,4,57.8,60.0,2777
363,1.6,4,3,5,61.4,57.0,12681
364,0.33,3,3,8,61.7,59.0,787
365,2.01,2,2,3,63.8,57.0,13976
366,1.13,1,2,4,55.9,67.0,4695
367,0.32,4,4,7,61.7,56.0,814
368,0.31,4,2,5,61.7,54.6,502
369,0.31,4,4,8,61.3,54.0,891
370,0.41,5,4,4,62.4,58.0,1061
371,1.51,2,6,2,63.2,56.0,9833
372,1.07,5,7,3,61.9,58.0,5704
373,0.55,4,3,3,61.5,54.0,1134
374,0.5,5,3,8,61.4,61.0,1971
375,0.5,5,4,5,60.9,59.0,1583
376,1.06,5,6,3,60.8,58.0,5485
377,0.54,4,6,4,61.9,55.0,1847
378,0.5,5,6,5,62.2,58.0,1675
379,0.63,4,6,4,62.1,56.0,2205
380,1.03,5,7,2,61.3,61.0,4764
381,0.32,4,4,6,61.1,55.0,936
382,0.7,2,4,3,63.5,61.0,2074
383,0.54,4,3,5,61.2,55.0,1454
384,1.01,5,7,5,62.4,58.0,8416
385,0.91,4,4,3,62.6,56.0,3991
386,0.71,4,7,3,60.6,56.0,3674
387,2.0,1,3,2,67.9,55.0,10913
388,1.12,4,3,6,62.3,53.0,7091
389,0.76,5,6,2,60.8,57.0,2580
390,0.7,4,6,4,62.1,55.0,2952
391,1.06,1,2,1,64.5,57.0,2239
392,0.3,5,4,5,62.2,59.0,605
393,0.51,3,7,2,61.5,59.0,1108
394,2.06,5,5,1,58.7,61.0,9967
395,0.54,4,3,5,61.5,56.0,1381
396,1.63,4,3,2,62.4,57.0,7923
397,0.8,5,4,5,62.5,58.0,3514
398,1.23,5,4,5,59.6,60.0,8293
399,0.74,4,5,3,60.4,56.0,2379
400,1.1,5,6,2,59.1,60.0,4967
401,1.36,5,2,2,62.7,58.0,5856
402,1.01,5,6,3,62.4,59.0,5430
403,1.24,3,5,6,63.6,56.0,11268
404,1.2,5,3,3,60.8,60.0,6282
405,0.5,4,7,5,62.2,54.4,2033
406,1.15,4,2,5,61.3,56.0,5930
407,0.41,4,3,5,61.9,56.0,827
408,0.3,2,4,5,63.1,58.0,605
409,0.52,4,7,3,62.2,54.0,1429
410,0.71,4,2,7,62.4,55.0,2559
411,0.31,3,4,6,60.0,62.0,707
412,0.6,2,5,4,58.8,60.7,1940
413,0.73,4,4,8,62.3,56.0,4142
414,0.34,4,7,7,61.7,56.0,1211
415,0.71,2,3,3,57.9,62.0,2354
416,0.7,4,7,3,61.6,57.0,3471
417,1.23,4,4,4,62.4,57.0,8233
418,0.91,5,3,5,59.2,62.0,3881
419,0.35,3,3,3,61.3,55.0,504
420,1.51,5,5,4,59.1,60.0,15253
421,1.11,4,7,6,62.3,56.0,12390
422,1.01,4,4,4,62.4,56.0,5946
423,0.82,5,1,3,61.2,58.0,2168
424,2.14,5,3,3,62.3,58.0,14490
425,1.0,2,4,4,63.3,60.0,5500
426,0.5,3,6,2,61.6,58.0,1235
427,0.51,3,4,3,63.0,53.0,1220
428,2.11,4,2,4,60.3,61.0,16512
429,0.54,4,5,6,61.2,55.0,2216
430,0.3,2,3,2,63.9,56.0,368
431,0.41,3,5,8,61.6,58.0,1313
432,0.98,1,4,1,68.0,63.0,1749
433,0.56,3,7,4,62.8,57.0,1963
434,0.43,3,3,4,63.4,55.0,994
435,0.31,3,5,6,62.0,56.0,754
436,0.55,4,6,6,61.1,57.0,2664
437,0.33,3,2,5,63.1,56.0,668
438,0.41,4,5,5,62.6,55.0,1076
439,0.3,4,6,3,61.7,57.0,640
440,0.4,4,4,8,61.1,56.0,1257
441,1.19,5,3,3,62.7,61.0,5698
442,1.16,4,4,2,61.9,56.0,4969
443,0.62,4,6,4,62.0,54.5,2208
444,0.41,4,4,4,60.9,57.0,1061
445,2.42,5,1,2,58.5,59.0,16198
446,0.7,3,5,4,62.3,56.0,2362
447,0.7,5,7,2,61.9,58.0,2536
448,1.14,4,4,6,62.3,55.0,8743
449,1.04,1,5,1,65.4,60.0,2134
450,0.25,5,5,7,60.7,59.0,740
451,1.02,4,4,4,61.9,53.0,6169
452,2.01,2,4,3,60.8,61.0,18077
453,0.41,3,4,3,60.4,58.0,735
454,2.28,4,1,3,61.6,57.0,12755
455,0.38,4,6,7,61.5,56.0,1154
456,0.5,4,6,4,61.3,57.0,1746
457,0.26,3,5,3,61.3,55.0,401
458,0.3,2,4,5,63.6,55.0,605
459,0.4,3,2,5,61.7,57.0,741
460,0.3,3,1,5,62.4,58.0,394
461,0.99,3,5,4,61.8,57.0,6094
462,0.36,5,5,3,61.6,60.0,770
463,1.08,3,5,3,61.3,57.0,4816
464,0.3,3,5,7,61.0,57.0,790
465,0.3,3,7,3,62.2,58.0,552
466,1.54,5,4,2,59.4,60.0,7707
467,0.9,3,4,4,63.1,56.0,4309
468,1.36,2,4,3,64.3,59.0,7549
469,0.52,3,6,4,62.5,58.0,1653
470,1.54,4,2,5,61.3,55.0,12401
471,0.25,4,4,6,61.9,55.0,525
472,0.59,3,6,4,59.4,63.0,2145
473,0.3,3,6,4,61.7,61.0,658
474,0.37,5,5,4,61.9,58.0,957
475,1.22,4,2,3,61.7,57.0,6012
476,0.72,2,6,3,63.7,58.0,2361
477,0.56,4,7,3,61.9,55.0,1677
478,0.3,5,6,6,60.8,60.0,1013
479,1.0,3,6,2,60.7,59.0,4311
480,0.31,5,5,4,61.7,58.0,802
481,0.31,4,6,7,62.5,54.0,853
482,0.74,4,5,6,61.5,55.0,3879
483,0.3,4,4,4,62.5,53.0,675
484,1.59,3,2,2,61.9,58.0,7345
485,1.51,5,3,4,62.9,59.0,11268
486,1.06,3,3,2,61.7,59.5,4465
487,1.0,5,5,3,59.8,59.0,5151
488,0.58,5,3,2,59.0,61.0,1066
489,0.39,2,5,4,64.3,55.0,681
490,2.14,4,2,2,60.7,57.0,14138
491,0.4,5,7,6,58.3,59.0,1152
492,0.3,4,4,2,62.1,58.0,422
493,0.33,4,3,7,62.1,55.0,752
494,0.3,3,3,5,62.9,56.0,526
495,0.7,1,4,1,65.2,58.0,956
496,0.32,4,3,8,61.2,56.0,814
497,2.05,5,2,5,60.3,59.0,12766
498,0.78,3,5,2,62.2,59.0,2550
499,1.12,5,1,3,62.3,57.0,4064
500,1.68,4,4,5,62.0,55.0,16985
501,0.29,1,7,4,64.7,62.0,592
502,0.33,3,7,2,63.4,56.0,631
503,0.74,4,4,4,61.3,55.0,2604
504,1.12,3,6,4,62.8,57.0,7589
505,1.02,1,3,2,59.6,57.0,4398
506,0.57,4,3,4,61.6,57.0,1655
507,1.14,4,7,2,61.4,56.0,5650
508,1.04,4,5,6,61.2,57.0,9169
509,1.68,2,6,1,64.3,60.0,5871
510,0.32,2,2,3,63.5,57.0,421
511,1.01,3,5,4,60.8,58.0,6288
512,0.51,4,7,4,61.7,56.0,1633
513,0.3,5,4,8,60.0,59.0,956
514,1.22,5,4,5,61.6,60.0,7850
515,1.01,4,2,4,59.9,61.0,4685
516,1.01,4,2,3,62.3,59.0,4518
517,1.04,4,5,5,63.0,56.0,7338
518,1.5,5,4,5,62.7,58.0,14234
519,0.31,3,1,3,62.7,59.0,363
520,0.39,3,2,5,63.1,58.0,921
521,0.35,3,3,5,62.6,58.0,614
522,2.0,4,3,4,60.5,56.0,13320
523,2.09,4,2,2,63.0,57.0,14838
524,0.41,3,3,3,60.0,61.0,683
525,0.71,4,2,6,60.7,57.0,3007
526,1.51,4,4,4,62.8,57.0,10553
527,0.32,3,4,5,62.5,60.0,645
528,0.41,4,4,5,59.8,57.0,899
529,1.06,4,6,3,58.8,57.0,5877
530,0.9,5,3,4,60.4,59.0,4246
531,0.7,3,4,6,61.8,60.0,2936
532,0.72,4,6,4,62.1,57.0,3235
533,0.51,3,5,4,62.0,58.0,1601
534,1.11,3,7,2,61.3,60.0,5042
535,0.32,3,6,5,61.1,59.8,792
536,1.6,5,3,4,62.1,60.0,11796
537,1.01,3,4,6,63.1,56.0,7565
538,0.3,5,6,3,60.6,56.0,675
539,0.4,4,2,8,62.4,56.0,1050
540,0.31,5,3,4,61.3,60.0,489
541,1.75,4,4,4,62.6,56.0,16783
542,0.4,4,5,4,63.4,54.0,1059
543,0.3,3,4,4,63.0,56.0,526
544,0.9,3,4,2,60.1,60.0,3114
545,0.32,5,3,3,61.9,58.0,576
546,0.42,3,6,4,62.8,59.0,958
547,0.71,3,6,6,60.3,52.0,3760
548,0.4,4,7,6,62.2,55.0,1263
549,0.31,4,5,4,61.6,56.0,749
550,1.58,5,6,2,61.0,60.0,7963
551,2.4,4,1,3,62.7,57.0,16687
552,0.71,2,4,4,64.0,55.0,2599
553,1.23,4,5,4,61.9,57.0,9759
554,0.57,3,6,4,62.1,59.0,1807
555,0.43,3,6,2,59.0,60.0,765
556,1.0,1,5,5,64.8,61.0,6115
557,2.04,3,2,5,61.8,60.0,18127
558,0.3,4,4,7,62.0,55.0,789
559,0.38,4,3,6,62.1,53.9,832
560,1.51,4,4,2,62.4,56.0,9234
561,0.5,3,5,3,60.0,54.0,1122
562,1.02,4,7,6,62.0,56.0,10967
563,0.56,4,7,3,62.3,56.0,1814
564,1.8,4,3,5,62.3,56.0,15105
565,0.71,3,6,3,59.7,58.0,2574
566,2.04,3,1,4,62.4,57.0,13825
567,1.01,4,4,3,61.6,57.0,5273
568,0.41,3,6,4,62.5,56.0,960
569,0.44,3,4,6,60.9,57.0,1081
570,1.21,4,4,7,60.2,57.0,10232
571,0.34,4,5,4,60.8,57.0,699
572,0.5,1,6,4,65.0,58.0,1188
573,0.31,5,6,6,61.4,58.0,816
574,0.7,4,2,4,62.1,54.6,2240
575,1.42,1,4,4,59.6,66.0,7214
576,0.7,4,3,2,60.4,58.0,2285
577,0.32,4,7,6,60.3,58.0,804
578,0.71,4,6,6,62.0,56.0,4467
579,2.06,3,1,4,62.6,58.0,14119
580,0.31,2,4,4,57.6,62.0,507
581,0.7,4,6,3,60.9,57.0,2768
582,0.24,3,6,6,62.5,58.0,485
583,0.3,5,4,7,60.5,59.0,1013
584,0.31,4,4,7,62.6,53.0,789
585,0.91,3,4,3,63.4,59.0,3763
586,0.72,5,5,3,62.6,59.0,2318
587,0.35,4,2,4,62.5,57.0,491
588,0.32,4,6,8,61.9,55.0,1018
589,1.22,5,2,4,60.1,58.0,5405
590,0.28,3,3,3,61.5,56.0,360
591,1.72,5,3,3,61.4,59.0,12998
592,1.19,4,2,5,61.6,56.0,7328
593,1.0,2,4,7,63.8,60.0,7007
594,0.61,3,6,3,62.2,60.0,1983
595,0.31,2,4,3,63.2,54.0,462
596,0.33,5,2,6,62.2,59.0,743
597,1.16,4,6,2,59.9,57.0,5093
598,0.7,2,4,6,61.1,61.0,3046
599,1.15,4,3,4,62.4,56.0,6788
600,0.25,4,3,8,61.4,57.0,525
601,1.12,5,1,2,60.7,61.0,3266
602,1.2,3,2,3,63.1,61.0,4301
603,0.44,5,6,3,62.2,60.0,1040
604,2.28,4,2,2,62.9,57.0,16187
605,0.7,2,5,7,63.2,58.0,3018
606,0.46,3,6,4,62.6,58.0,1245
607,0.31,4,5,8,62.2,56.0,1122
608,1.02,2,4,4,63.8,59.0,6080
609,0.34,5,7,3,59.8,61.0,803
610,0.41,4,2,8,62.6,57.0,1007
611,1.16,5,3,2,61.8,58.0,4872
612,0.3,2,3,3,63.7,56.0,421
