,cut,color,clarity,depth,table
299,2,4,7,63.3,56.0
300,3,2,3,61.7,56.0
301,5,3,5,61.2,61.0
302,4,5,4,61.9,55.0
303,5,1,2,61.6,58.0
304,3,6,7,61.6,53.0
305,5,5,2,59.5,62.0
306,4,5,5,62.0,56.0
307,4,4,3,62.7,57.0
308,5,5,4,62.5,58.0
309,2,3,3,64.0,61.0
310,4,5,4,61.7,55.0
311,4,6,5,61.2,56.0
312,5,4,5,62.1,58.0
313,5,2,2,63.0,56.0
314,3,3,6,60.7,58.0
315,5,5,3,61.5,59.0
316,4,4,8,62.2,53.0
317,4,4,4,62.3,56.0
318,1,6,3,64.6,59.0
319,4,6,4,61.9,56.0
320,3,6,2,62.5,61.0
321,4,6,5,61.4,57.0
322,4,3,7,62.8,57.0
323,1,6,2,66.0,57.0
324,4,3,6,61.2,56.0
325,3,5,3,63.1,56.0
326,4,3,6,61.8,56.0
327,5,4,5,62.2,58.0
328,2,6,3,63.9,57.0
329,4,5,2,61.7,54.9
330,4,7,4,62.2,57.0
331,5,7,3,58.9,60.0
332,4,4,4,61.3,56.0
333,2,5,2,60.5,61.0
334,3,5,3,62.8,57.0
335,5,5,3,60.6,59.0
336,4,6,3,61.4,58.0
337,4,5,6,62.2,54.0
338,3,2,3,63.2,57.0
339,4,7,3,61.9,56.0
340,3,3,2,63.3,58.0
341,3,4,3,63.4,57.0
342,4,7,3,61.2,57.0
343,3,7,3,61.5,61.0
344,4,4,7,61.9,58.0
345,5,4,6,61.2,58.0
346,5,5,3,60.2,58.0
347,5,1,5,61.9,57.0
348,1,7,3,65.2,57.0
349,5,3,2,62.0,60.0
350,3,6,3,61.8,56.0
351,3,4,4,62.4,60.0
352,4,4,6,60.9,56.0
353,5,5,2,62.3,57.0
354,4,3,3,62.9,57.0
355,4,7,4,61.7,56.0
356,4,3,4,63.0,57.0
357,4,5,4,61.3,57.0
358,5,6,2,61.1,59.0
359,2,1,2,63.2,59.0
360,2,4,5,58.0,57.8
361,3,3,5,63.0,55.0
362,3,4,5,60.5,63.0
363,2,2,5,59.2,58.0
364,5,3,3,62.7,59.0
365,3,3,4,63.4,57.0
366,3,5,3,59.1,59.0
367,5,5,4,62.4,59.0
368,4,1,5,62.0,53.6
369,5,4,5,61.5,61.0
370,2,1,3,59.6,61.0
371,3,6,2,63.5,54.0
372,4,3,5,61.0,56.0
373,4,2,2,61.8,57.0
374,3,5,5,62.5,54.0
375,5,3,6,62.0,58.0
376,5,1,3,61.4,57.0
377,5,7,2,62.3,57.0
378,2,6,3,63.2,61.0
379,3,4,6,58.4,59.0
380,2,5,4,64.2,53.8
381,5,6,3,61.7,56.0
382,2,3,6,61.4,64.0
383,4,3,5,61.8,58.0
384,5,5,3,62.6,60.0
385,4,5,4,61.7,57.0
386,4,7,2,59.7,55.0
387,3,2,8,58.8,61.0
388,4,6,3,62.2,57.0
389,4,6,5,62.2,57.0
390,5,4,3,62.3,56.0
391,5,3,3,62.0,60.0
392,5,4,5,61.5,58.0
393,5,1,3,61.6,59.0
394,4,4,5,61.8,55.0
395,4,5,3,62.2,54.2
396,3,2,3,61.9,61.0
397,5,5,3,60.9,59.0
398,3,1,3,61.4,58.0
399,2,5,3,63.8,56.0
400,4,4,8,61.9,54.0
401,4,5,3,62.3,55.0
402,3,7,3,62.6,58.0
403,4,3,3,61.3,55.0
404,4,6,2,62.4,57.0
405,4,2,3,62.1,55.0
406,5,3,2,62.0,58.0
407,3,4,3,63.5,60.0
408,4,5,3,61.3,56.0
409,5,6,5,60.6,58.0
410,4,4,6,60.8,57.0
411,5,3,3,62.5,57.0
412,2,7,3,58.5,63.0
413,4,7,1,60.9,57.0
414,3,6,4,61.6,56.0
415,4,6,2,62.7,53.9
416,4,5,3,62.5,55.0
417,4,3,8,61.5,55.0
418,4,7,4,61.2,55.0
419,5,2,2,59.4,59.0
420,4,6,7,61.4,57.0
421,4,3,4,61.7,57.0
422,4,5,2,61.6,55.0
423,2,3,5,63.2,60.0
424,4,4,8,61.8,54.0
425,4,2,5,61.0,56.0
426,4,5,4,61.6,55.0
427,3,5,3,60.3,59.0
428,3,7,3,62.9,63.0
429,4,6,5,62.0,56.0
430,4,3,3,61.0,55.0
431,5,4,4,61.7,61.0
432,4,4,6,61.0,57.0
433,4,4,5,61.8,57.0
434,5,6,2,59.9,59.0
435,2,6,3,58.6,62.0
436,4,4,3,62.0,57.0
437,3,7,6,59.8,55.0
438,4,4,6,62.2,56.0
439,3,6,5,60.4,59.0
440,5,5,2,59.6,60.0
441,4,7,3,62.0,56.0
442,4,6,4,62.5,55.0
443,4,2,2,62.1,53.6
444,3,7,4,58.8,61.0
445,4,7,5,61.4,56.0
446,3,6,4,61.5,59.0
447,3,5,4,60.1,56.0
448,4,4,5,61.9,54.0
449,4,5,8,62.0,57.0
450,2,4,2,59.2,65.0
451,4,3,4,61.3,56.0
452,5,5,2,61.3,61.0
453,5,3,5,61.7,61.0
454,3,4,4,59.6,60.0
455,4,3,4,62.0,57.0
456,4,5,4,60.0,57.0
457,2,7,3,63.8,55.0
458,3,7,4,63.2,56.0
459,2,5,3,63.6,58.0
460,3,6,6,62.9,59.0
461,4,1,8,61.8,53.0
462,4,6,4,62.7,55.0
463,5,7,2,61.5,60.0
464,5,2,3,62.8,58.0
465,3,4,4,60.1,61.0
466,3,6,3,62.5,58.0
467,5,6,5,61.6,58.0
468,4,2,3,60.7,60.0
469,4,6,2,62.0,55.0
470,3,3,3,62.2,60.0
471,3,5,6,62.6,56.0
472,2,4,2,64.1,56.0
473,4,4,3,62.2,57.0
474,5,1,2,61.8,54.0
475,4,5,7,62.3,55.0
476,4,7,3,62.0,55.0
477,4,3,3,62.8,55.0
478,4,4,5,61.4,57.0
479,1,4,3,65.7,54.0
480,4,5,4,62.3,56.0
481,5,3,2,61.6,58.0
482,5,7,2,62.3,58.0
483,4,5,8,62.3,57.0
484,4,2,2,62.0,57.0
485,3,1,3,60.1,62.0
486,4,4,7,60.2,60.0
487,2,4,3,63.8,56.0
488,3,7,4,63.4,55.0
489,4,3,8,61.7,55.0
490,2,5,2,63.6,56.0
491,5,5,3,62.4,58.0
492,1,5,2,64.7,61.0
493,2,5,6,62.5,58.0
494,5,4,3,62.7,58.0
495,3,4,8,59.4,60.0
496,5,7,4,59.3,55.0
497,4,2,2,61.4,54.0
498,4,3,3,61.8,56.0
499,4,3,5,62.0,56.0
500,3,2,3,60.4,63.0
501,5,7,3,61.1,60.0
502,3,7,3,63.4,58.0
503,5,7,4,61.3,60.0
504,2,4,4,62.6,61.0
505,5,3,4,59.7,58.0
506,3,4,4,63.2,55.0
507,2,6,5,63.8,55.0
508,5,3,2,61.1,59.0
509,5,7,5,61.9,55.0
510,3,7,2,58.6,59.0
511,4,4,4,60.9,57.0
512,4,6,5,61.2,55.0
513,3,7,2,60.2,61.0
514,4,4,2,61.0,55.0
515,5,1,3,61.5,58.0
516,5,6,4,62.3,59.0
517,3,3,4,62.0,59.0
518,4,4,5,62.2,56.0
519,5,4,4,61.1,58.0
520,3,6,5,63.3,58.0
521,4,3,3,59.9,56.0
522,3,1,4,60.0,59.4
523,5,2,3,62.0,59.0
524,3,6,2,62.4,57.0
525,3,5,6,63.8,59.0
526,4,2,4,64.8,55.0
527,4,7,8,62.0,56.0
528,4,4,6,61.8,56.0
529,5,3,2,58.3,59.0
530,5,4,2,62.7,55.0
531,4,3,4,62.2,55.0
532,4,4,4,60.8,55.0
533,5,5,5,62.0,56.0
534,1,1,2,65.1,56.0
535,2,4,2,63.2,55.0
536,4,4,6,61.9,55.0
537,4,4,8,62.7,57.0
538,4,4,2,61.3,57.0
539,4,4,2,59.7,56.0
540,5,4,5,59.9,56.0
541,3,5,3,63.1,61.0
542,4,3,5,62.2,57.0
543,4,6,3,60.4,55.0
544,3,4,6,63.0,56.0
545,4,6,3,61.2,56.0
546,5,5,2,60.4,60.0
547,4,4,4,61.6,54.0
548,4,7,3,62.6,56.0
549,5,7,2,59.0,61.0
550,4,2,7,62.4,56.0
551,5,7,3,58.9,60.0
552,3,6,4,63.5,57.0
553,4,4,8,61.5,56.0
554,4,7,4,61.3,57.0
555,2,5,3,63.1,57.0
556,3,4,2,62.6,55.0
557,4,3,8,61.2,55.0
558,3,6,4,62.4,59.0
559,5,4,7,62.1,59.0
560,4,6,4,62.9,56.0
561,4,4,6,61.4,55.0
562,4,3,2,61.6,54.0
563,3,7,3,62.4,58.0
564,4,6,6,62.6,54.0
565,4,2,4,62.3,54.0
566,5,4,6,62.4,55.0
567,4,2,6,62.3,57.0
568,4,1,5,62.2,56.0
569,3,1,3,63.1,59.0
570,5,6,3,62.1,58.0
571,4,4,6,62.1,53.0
572,4,4,6,62.1,56.0
573,5,2,2,61.3,58.0
574,5,4,8,59.8,58.0
575,2,4,4,64.4,58.0
576,3,5,2,58.5,59.0
577,3,7,3,58.5,58.0
578,5,4,3,62.6,58.0
579,4,5,2,62.6,55.0
580,4,7,4,62.0,54.0
581,1,7,3,66.3,56.0
582,2,3,3,63.6,56.0
583,4,4,3,62.7,55.0
584,3,4,7,63.3,55.0
585,5,3,2,62.0,60.0
586,4,6,1,61.8,56.0
587,5,2,5,59.9,60.0
588,4,3,3,61.5,55.0
589,4,4,6,60.9,56.0
590,2,4,2,63.7,60.0
591,5,7,3,59.6,58.0
592,4,3,5,61.8,55.0
593,5,6,3,62.0,61.0
594,5,5,4,61.2,59.0
595,5,6,3,62.8,58.0
596,3,7,4,59.2,56.0
597,4,5,6,60.8,56.0
598,4,7,4,62.6,56.0
599,5,6,3,63.0,59.0
600,3,5,6,63.0,59.0
601,4,6,3,61.1,57.0
602,4,4,4,61.8,57.0
603,5,2,7,60.5,60.0
604,1,5,1,62.9,66.0
605,4,4,4,62.0,56.0
606,4,2,4,61.5,55.0
607,2,6,6,58.9,61.0
608,4,6,8,62.2,54.0
609,4,4,6,61.7,55.0
610,5,5,3,62.3,59.0
611,5,4,7,59.5,60.0
612,4,3,2,60.3,56.0
613,5,3,3,61.8,58.0
614,5,2,5,61.9,58.0
615,5,3,2,60.8,59.0
616,4,4,5,62.0,56.0
617,4,7,4,62.9,56.0
618,2,3,7,63.3,58.0
619,3,3,2,63.6,58.0
620,4,1,3,59.8,61.0
621,3,4,3,61.0,58.0
622,4,6,3,62.3,53.0
623,5,6,2,61.2,59.0
624,5,3,2,62.5,57.0
625,2,7,2,63.8,56.0
626,3,7,2,59.2,63.0
627,4,2,2,62.2,57.0
628,4,7,4,62.3,57.0
629,4,2,4,61.4,57.0
630,3,2,2,63.2,57.0
631,3,3,4,62.4,55.6
632,5,7,6,61.8,58.0
633,4,6,3,61.0,56.0
634,5,7,5,60.4,58.0
635,4,2,7,61.4,54.0
636,4,4,4,62.0,56.0
637,5,6,3,62.5,59.0
638,4,5,4,61.7,55.0
639,5,5,4,61.8,58.0
640,3,7,3,60.1,58.0
641,4,2,7,61.9,55.0
642,4,3,3,60.0,59.0
643,4,6,4,62.0,56.0
644,5,5,3,62.9,58.0
645,2,2,3,63.5,59.0
646,5,3,4,60.8,59.0
647,4,6,4,61.5,55.0
648,5,6,2,62.8,59.0
649,2,2,2,63.3,60.0
650,3,5,3,61.6,59.0
651,5,6,2,61.0,60.0
652,5,3,3,62.3,60.0
653,2,6,2,62.3,58.0
654,5,3,3,58.3,60.0
655,5,2,5,61.5,58.0
656,2,7,4,63.5,57.0
657,4,3,7,62.3,54.0
658,4,2,2,61.8,55.0
659,5,1,2,62.0,59.0
660,4,5,7,61.4,57.0
661,5,2,3,62.7,55.0
662,3,7,3,60.7,58.0
663,2,7,2,64.1,61.0
664,5,4,6,62.8,54.0
665,4,3,3,61.6,57.0
666,5,2,4,62.1,59.0
667,3,1,6,60.0,60.0
668,4,5,5,62.2,55.0
669,3,5,5,60.4,58.0
670,5,5,3,61.7,60.0
671,5,4,4,62.2,58.0
672,5,6,5,61.9,59.0
673,4,4,7,62.2,57.0
674,5,3,3,62.8,58.0
675,4,3,8,61.6,56.0
676,5,4,5,60.2,57.0
677,3,2,4,63.3,56.0
678,4,3,3,63.0,57.0
679,5,2,5,59.5,60.0
680,2,3,5,57.5,60.0
681,4,7,3,62.3,57.0
682,3,2,3,63.3,54.0
683,5,3,4,59.3,58.0
684,3,2,2,63.7,61.0
685,3,6,3,63.1,60.0
686,5,3,5,60.5,58.0
687,4,2,4,62.5,57.0
688,4,3,3,62.1,54.0
689,4,7,2,62.8,57.0
690,5,4,2,61.3,58.0
691,4,4,7,62.1,54.7
692,4,1,4,61.4,57.0
693,4,7,5,61.0,57.0
694,4,5,2,62.4,57.0
695,5,4,3,63.0,56.0
696,5,6,3,61.9,62.0
697,4,2,5,62.1,56.0
698,4,6,2,62.0,57.0
699,4,2,5,62.1,56.0
700,3,4,3,59.1,57.0
701,4,2,3,62.4,56.0
702,3,6,2,63.0,58.0
703,5,7,3,61.4,59.0
704,4,4,3,61.8,55.0
705,3,1,3,62.7,57.0
706,5,5,4,62.2,60.0
707,4,6,6,62.2,57.0
708,5,6,5,60.1,58.0
709,3,6,4,61.8,58.0
710,2,4,7,63.6,58.0
711,4,2,2,61.3,56.0
712,2,6,3,62.6,61.0
713,2,7,3,63.1,59.0
714,3,5,3,62.4,59.0
715,4,3,8,62.2,54.1
716,4,6,6,61.5,55.0
717,3,6,5,61.8,58.0
718,3,3,2,61.2,57.0
719,4,2,3,61.5,58.0
720,5,3,2,61.4,60.0
721,4,2,3,61.0,57.0
722,4,2,3,60.6,59.0
723,4,7,3,61.6,56.0
724,3,7,2,60.2,63.0
725,3,7,4,63.1,58.0
726,5,3,4,60.9,59.0
727,4,6,4,60.5,56.0
728,4,6,3,62.4,55.0
729,4,5,6,62.4,55.0
730,4,5,4,61.5,55.0
731,4,1,2,61.9,55.0
732,4,6,4,62.0,55.0
733,3,2,5,62.6,59.0
734,5,3,4,62.7,59.0
735,3,2,6,59.9,57.0
736,5,4,5,59.1,61.0
737,5,4,6,60.2,60.0
738,4,4,5,59.4,57.0
739,5,5,4,60.7,58.0
740,5,3,3,61.0,58.0
741,5,4,4,61.5,59.0
742,4,6,4,61.8,57.0
743,3,6,2,63.4,56.0
744,4,3,5,61.9,55.0
745,5,6,3,62.9,56.0
746,4,7,2,61.6,55.0
747,4,5,6,62.5,55.0
748,3,3,2,62.4,58.0
749,5,6,4,60.2,58.0
750,4,5,8,60.3,58.0
751,3,6,7,60.2,59.0
752,4,7,7,61.5,56.0
753,4,6,4,61.5,56.0
754,4,6,2,62.2,57.0
755,5,4,4,60.0,59.0
756,4,3,5,61.3,57.0
757,3,4,2,59.5,60.0
758,5,4,3,59.7,60.0
759,1,6,2,57.5,68.0
760,4,7,3,62.1,56.0
761,4,7,4,60.2,56.0
762,4,6,3,61.7,56.0
763,5,2,7,62.2,60.0
764,4,3,7,61.3,55.0
765,2,6,3,62.6,62.0
766,3,3,6,62.1,57.0
767,4,5,6,60.5,55.0
768,1,5,3,65.8,58.0
769,5,5,3,62.9,59.0
770,4,6,6,61.0,56.0
771,3,3,7,62.7,59.0
772,5,3,3,60.5,58.0
773,1,5,1,62.0,56.0
774,5,6,5,58.1,62.0
775,5,4,5,62.4,58.0
776,4,5,5,61.0,55.0
777,4,5,2,61.2,57.0
778,4,4,3,61.7,55.0
779,5,6,5,61.5,59.0
780,4,4,5,61.2,57.0
781,3,5,4,62.2,56.0
782,4,2,2,61.5,53.0
783,3,2,2,61.4,59.5
784,3,4,4,62.4,59.0
785,4,7,3,61.0,57.0
786,3,4,3,62.2,58.0
787,5,4,2,62.6,58.0
788,4,6,2,58.3,62.0
789,3,6,4,58.3,62.0
790,4,5,5,60.9,57.0
791,4,5,5,60.9,57.0
792,5,4,4,62.7,57.0
793,4,4,2,61.8,56.0
794,3,5,3,62.1,57.0
795,5,2,5,61.2,59.0
796,3,7,3,62.8,55.0
797,4,7,2,62.7,56.0
798,4,7,4,61.1,56.0
799,4,6,7,60.1,57.0
800,2,4,3,63.6,57.0
801,5,5,3,60.7,58.0
802,4,5,6,61.2,57.0
803,4,4,7,62.4,55.0
804,3,1,4,62.1,57.0
805,5,4,3,62.2,58.0
806,4,5,6,62.2,54.0
807,4,4,2,60.8,57.0
808,3,6,2,63.5,56.0
809,5,6,5,62.7,57.0
810,4,5,3,62.5,56.0
811,5,3,7,61.4,58.0
812,5,5,7,59.7,59.0
813,3,7,4,61.0,58.0
814,3,4,3,61.6,57.0
815,4,6,2,62.2,53.0
816,2,3,2,64.1,57.0
817,4,7,6,61.7,55.0
818,5,3,2,62.3,58.0
819,5,4,2,60.2,58.0
820,2,1,2,63.6,58.0
821,5,1,2,60.9,60.0
822,4,7,3,61.3,57.0
823,3,6,2,60.1,55.8
824,4,7,3,62.0,53.0
825,4,3,5,61.5,55.0
826,5,6,3,59.8,59.0
827,3,4,2,58.5,61.0
828,4,6,2,61.1,55.0
829,4,2,3,62.8,54.0
830,1,1,5,64.6,59.0
831,3,6,6,61.4,55.0
832,3,3,2,61.8,58.0
833,4,6,5,61.9,56.0
834,4,3,3,62.7,55.0
835,3,4,4,62.8,56.0
836,5,5,4,58.0,62.0
837,5,4,2,59.9,59.0
838,4,6,2,58.8,57.0
839,4,1,2,60.1,57.0
840,3,6,2,62.4,58.0
841,2,5,2,60.3,61.0
842,3,3,2,62.2,55.1
843,4,6,4,61.3,57.0
844,4,7,4,62.4,55.0
845,3,5,3,61.3,58.0
846,4,4,6,60.7,55.0
847,5,3,4,59.7,59.0
848,4,7,8,61.1,56.0
849,4,7,3,61.3,57.0
850,3,5,4,62.8,59.0
851,3,6,6,63.8,57.0
852,4,7,6,60.7,55.0
853,5,5,6,59.6,59.0
854,5,5,4,60.8,59.0
855,4,6,5,61.2,54.0
856,5,3,5,62.4,58.0
857,4,7,6,60.7,57.0
858,4,4,5,60.8,56.0
859,3,6,6,59.7,63.0
860,3,3,2,61.7,59.0
861,4,5,3,61.0,56.0
862,4,3,7,62.1,57.0
863,4,4,4,62.0,57.0
864,4,6,2,61.4,57.0
865,4,7,3,61.4,56.0
866,5,2,3,59.6,58.0
867,4,5,7,62.0,54.0
868,5,4,3,61.2,62.0
869,3,4,3,63.5,56.0
870,4,4,3,62.2,56.0
871,3,3,4,61.2,54.0
872,3,3,6,60.2,60.0
